date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,exit_reason
2025-07-08,long,2025-07-08 15:00:00+05:30,25495.9,2025-07-08 15:25:00+05:30,25523.1,25424.15,,27.2,6,EOD
2025-07-09,long,2025-07-09 10:10:00+05:30,25525.05,2025-07-09 14:30:00+05:30,25472.05,25472.05,,-53.0,53,SL
2025-07-21,long,2025-07-21 09:55:00+05:30,25037.2,2025-07-21 15:25:00+05:30,25093.3,24882.3,,56.1,67,EOD
2025-07-23,long,2025-07-23 12:00:00+05:30,25149.85,2025-07-23 15:25:00+05:30,25209.2,25094.55,,59.35,42,EOD
2025-08-13,long,2025-08-13 09:55:00+05:30,24599.55,2025-08-13 15:25:00+05:30,24630.4,24535.25,,30.85,67,EOD
2025-08-14,long,2025-08-14 09:45:00+05:30,24664.35,2025-08-14 11:45:00+05:30,24604.6,24604.6,,-59.75,25,SL
2025-08-18,long,2025-08-18 09:45:00+05:30,25003.7,2025-08-18 12:10:00+05:30,24884.3,24884.3,,-119.4,30,SL
2025-08-25,long,2025-08-25 12:10:00+05:30,24973.95,2025-08-25 15:25:00+05:30,24978.55,24915.0,,4.6,40,EOD
2025-09-16,long,2025-09-16 09:50:00+05:30,25140.4,2025-09-16 15:25:00+05:30,25254.45,25070.45,,114.05,68,EOD
2025-09-17,long,2025-09-17 12:30:00+05:30,25342.15,2025-09-17 15:25:00+05:30,25330.15,25275.35,,-12.0,36,EOD
2025-10-06,long,2025-10-06 09:45:00+05:30,24947.2,2025-10-06 15:25:00+05:30,25072.55,24881.65,,125.35,69,EOD
2025-10-15,long,2025-10-15 10:20:00+05:30,25267.95,2025-10-15 15:25:00+05:30,25327.75,25159.35,,59.8,62,EOD
2025-10-16,long,2025-10-16 09:45:00+05:30,25440.95,2025-10-16 15:25:00+05:30,25566.3,25376.85,,125.35,69,EOD
2025-10-29,long,2025-10-29 10:25:00+05:30,26025.05,2025-10-29 15:25:00+05:30,26068.3,25960.3,,43.25,61,EOD
2025-11-19,long,2025-11-19 10:05:00+05:30,25933.65,2025-11-19 15:25:00+05:30,26052.7,25856.2,,119.05,65,EOD
2025-11-20,long,2025-11-20 10:45:00+05:30,26136.0,2025-11-20 15:25:00+05:30,26197.4,26063.2,,61.4,57,EOD
2025-11-24,long,2025-11-24 10:35:00+05:30,26137.55,2025-11-24 11:50:00+05:30,26074.05,26074.05,,-63.5,16,SL
2025-12-09,long,2025-12-09 12:05:00+05:30,25890.95,2025-12-09 15:25:00+05:30,25841.75,25754.65,,-49.2,41,EOD
2025-12-18,long,2025-12-18 10:20:00+05:30,25827.15,2025-12-18 15:25:00+05:30,25815.65,25742.6,,-11.5,62,EOD
2025-12-19,long,2025-12-19 09:45:00+05:30,25968.7,2025-12-19 15:25:00+05:30,25961.4,25880.45,,-7.3,69,EOD
2025-12-22,long,2025-12-22 09:45:00+05:30,26136.9,2025-12-22 15:25:00+05:30,26162.75,26047.8,,25.85,69,EOD
