date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2024-09-13,short,2024-09-13 09:15:00+05:30,2024-09-13 09:20:00+05:30,25430.45,25343.3,25480.45,25372.7,77.15,tgt,0.46
2024-09-19,short,2024-09-19 09:15:00+05:30,2024-09-19 09:20:00+05:30,25487.05,25553.65,25537.05,25415.25,-76.6,sl,0.57
2024-10-21,short,2024-10-21 09:15:00+05:30,2024-10-21 09:25:00+05:30,24956.15,24909.4,25006.15,24909.4,36.75,tgt,0.38
2024-11-06,short,2024-11-06 09:15:00+05:30,2024-11-06 09:20:00+05:30,24308.75,24253.45,24358.75,24253.45,45.3,tgt,0.46
2024-11-12,short,2024-11-12 09:15:00+05:30,2024-11-12 09:25:00+05:30,24225.8,24173.95,24275.8,24173.95,41.85,tgt,0.43
2024-11-25,short,2024-11-25 09:15:00+05:30,2024-11-25 09:25:00+05:30,24253.55,24303.55,24303.55,24063.53,-60.0,sl,1.59
2024-11-26,short,2024-11-26 09:15:00+05:30,2024-11-26 09:25:00+05:30,24343.3,24297.05,24393.3,24297.05,36.25,tgt,0.38
2024-12-03,short,2024-12-03 09:15:00+05:30,2024-12-03 09:20:00+05:30,24367.5,24315.0,24417.5,24321.38,42.5,tgt,0.38
2024-12-23,short,2024-12-23 09:15:00+05:30,2024-12-23 09:20:00+05:30,23738.2,23788.2,23788.2,23684.78,-60.0,sl,0.45
2025-01-16,short,2025-01-16 09:15:00+05:30,2025-01-16 09:55:00+05:30,23377.25,23302.67,23427.25,23302.67,64.58,tgt,0.64
2025-01-20,short,2025-01-20 09:15:00+05:30,2025-01-20 09:20:00+05:30,23298.9,23226.95,23348.9,23251.0,61.95,tgt,0.41
2025-01-21,short,2025-01-21 09:15:00+05:30,2025-01-21 09:25:00+05:30,23421.65,23379.35,23471.65,23379.35,32.3,tgt,0.36
2025-01-28,short,2025-01-28 09:15:00+05:30,2025-01-28 09:25:00+05:30,22960.45,22888.65,23010.45,22888.65,61.8,tgt,0.63
2025-02-04,short,2025-02-04 09:15:00+05:30,2025-02-04 09:40:00+05:30,23509.9,23559.9,23559.9,23434.8,-60.0,sl,0.64
2025-02-05,short,2025-02-05 09:15:00+05:30,2025-02-05 09:20:00+05:30,23801.75,23754.72,23851.75,23754.72,37.03,tgt,0.4
2025-03-06,short,2025-03-06 09:15:00+05:30,2025-03-06 09:20:00+05:30,22476.35,22411.5,22526.35,22411.5,54.85,tgt,0.58
2025-03-18,short,2025-03-18 09:15:00+05:30,2025-03-18 10:00:00+05:30,22662.25,22712.25,22712.25,22588.75,-60.0,sl,0.65
2025-03-20,short,2025-03-20 09:15:00+05:30,2025-03-20 10:10:00+05:30,23036.6,22974.2,23086.6,22974.2,52.4,tgt,0.54
2025-03-24,short,2025-03-24 09:15:00+05:30,2025-03-24 09:40:00+05:30,23515.4,23435.53,23565.4,23435.53,69.88,tgt,0.68
2025-03-26,short,2025-03-26 09:15:00+05:30,2025-03-26 09:40:00+05:30,23700.95,23653.45,23750.95,23653.45,37.5,tgt,0.4
2025-04-08,short,2025-04-08 09:15:00+05:30,2025-04-08 09:20:00+05:30,22446.75,22525.05,22496.75,22342.38,-88.3,sl,0.94
2025-04-11,short,2025-04-11 09:15:00+05:30,2025-04-11 09:20:00+05:30,22695.4,22766.05,22745.4,22557.9,-80.65,sl,1.23
2025-04-15,short,2025-04-15 09:15:00+05:30,2025-04-15 15:20:00+05:30,23368.35,23343.35,23418.35,23106.42,15.0,eod,2.29
2025-04-21,short,2025-04-21 09:15:00+05:30,2025-04-21 09:35:00+05:30,23949.15,23999.15,23999.15,23893.45,-60.0,sl,0.47
2025-04-23,short,2025-04-23 09:15:00+05:30,2025-04-23 10:05:00+05:30,24357.6,24245.82,24407.6,24245.82,101.78,tgt,0.93
2025-05-05,short,2025-05-05 09:15:00+05:30,2025-05-05 09:25:00+05:30,24419.5,24469.5,24469.5,24366.58,-60.0,sl,0.44
2025-05-12,short,2025-05-12 09:15:00+05:30,2025-05-12 09:20:00+05:30,24420.1,24562.45,24470.1,24229.38,-152.35,sl,1.59
2025-06-03,short,2025-06-03 09:15:00+05:30,2025-06-03 09:20:00+05:30,24786.3,24691.85,24836.3,24738.32,84.45,tgt,0.39
2025-06-09,short,2025-06-09 09:15:00+05:30,2025-06-09 09:40:00+05:30,25160.1,25080.2,25210.1,25080.2,69.9,tgt,0.64
2025-06-10,short,2025-06-10 09:15:00+05:30,2025-06-10 09:20:00+05:30,25196.05,25128.4,25246.05,25149.57,57.65,tgt,0.37
2025-06-24,short,2025-06-24 09:15:00+05:30,2025-06-24 09:20:00+05:30,25179.9,25234.8,25229.9,25069.4,-64.9,sl,0.89
2025-08-13,short,2025-08-13 09:15:00+05:30,2025-08-13 09:30:00+05:30,24586.2,24536.03,24636.2,24536.03,40.17,tgt,0.41
