date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2023-11-12,long,2023-11-12 12:45:00,19547.25,2023-11-22 06:45:00,19754.05,,,206.8,47,0,2760,-132.5,328.0,Target
2023-11-23,long,2023-11-23 03:45:00,19829.1,2023-11-24 06:45:00,19786.6,,,-42.5,11,0,600,-60.25,9.9,Target
2023-11-28,long,2023-11-28 08:45:00,19875.15,2023-12-12 07:45:00,20950.6,,,1075.45,70,0,4140,0.0,1162.75,Target
2023-12-13,short,2023-12-13 03:45:00,20862.7,2023-12-14 03:45:00,21110.4,,,-247.7,8,0,420,-326.85,93.2,Target
2023-12-14,long,2023-12-14 07:45:00,21189.55,2023-12-20 07:45:00,21350.5,,,160.95,29,0,1680,-26.95,403.45,Target
2023-12-20,short,2023-12-20 08:45:00,21252.4,2023-12-22 04:45:00,21355.45,,,-103.05,11,0,600,-138.1,275.6,Target
2023-12-26,long,2023-12-26 06:45:00,21475.9,2023-12-29 08:45:00,21680.1,,,204.2,24,0,1380,-56.5,325.55,Target
2024-01-01,long,2024-01-01 08:45:00,21801.45,2024-01-02 03:45:00,21676.9,,,-124.55,3,0,120,-174.95,0.0,Target
2024-01-02,short,2024-01-02 04:45:00,21626.5,2024-01-04 07:45:00,21672.7,,,-46.2,18,0,1020,-66.2,126.15,Target
2024-01-05,long,2024-01-05 03:45:00,21705.75,2024-01-05 08:45:00,21635.75,,,-70.0,6,0,300,-76.55,37.1,Target
2024-01-08,long,2024-01-08 03:45:00,21749.6,2024-01-08 04:45:00,21629.2,,,-120.4,2,0,60,-149.55,0.0,Target
2024-01-08,short,2024-01-08 08:45:00,21500.35,2024-01-11 03:45:00,21714.2,,,-213.85,17,0,960,-226.15,51.7,Target
2024-01-12,long,2024-01-12 03:45:00,21773.55,2024-01-16 07:45:00,22003.8,,,230.25,19,0,1080,0.0,350.6,Target
2024-01-17,short,2024-01-17 03:45:00,21647.25,2024-01-19 04:45:00,21665.65,,,-18.4,16,0,900,-146.75,361.7,Target
